Name,Borough/County,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Jungsik,Manhattan,,,,,,,,1 Michelin star,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars
Juni,Manhattan,,,,,,,,,,1 Michelin star,1 Michelin star,,,,
Junoon,Manhattan,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,
Kajitsu,Manhattan,,,,,1 Michelin star,2 Michelin stars,2 Michelin stars,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Kanoyama,Manhattan,,,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Kosaka,Manhattan,,,,,,,,,,,,,,1 Michelin star,1 Michelin star
Kurumazushi,Manhattan,,1 Michelin star,1 Michelin star,,,,,,,,,,,,
Kyo Ya,Manhattan,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,
Lan Sheng,Manhattan,,,,,,,,1 Michelin star,1 Michelin star,,,,,,
Laut,Manhattan,,,,,,1 Michelin star,1 Michelin star,,,,,,,,
Lever House,Manhattan,1 Michelin star,1 Michelin star,,,,,,,,,,,,,
Lincoln,Manhattan,,,,,,,,,1 Michelin star,1 Michelin star,,,,,
Lo Scalco,Manhattan,1 Michelin star,,,,,,,,,,,,,,
Luksus at Torst,Brooklyn,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,,,
M. Wells Steakhouse,Queens,,,,,,,,,,1 Michelin star,1 Michelin star,,,,
Marc Forgione,Manhattan,,,,,1 Michelin star,1 Michelin star,1 Michelin star,,,,,,,,
March,Manhattan,1 Michelin star,,,,,,,,,,,,,,
Marea,Manhattan,,,,,1 Michelin star,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,1 Michelin star
Masa,Manhattan,2 Michelin stars,2 Michelin stars,2 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars
Meadowsweet,Brooklyn,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Minetta Tavern,Manhattan,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,
The Modern,Manhattan,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars
Momofuku Ko,Manhattan,,,,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars
The Musket Room,Manhattan,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Nix,Manhattan,,,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Nobu,Manhattan,1 Michelin star,,,,,,,,,,,,,,
Noda,Manhattan,,,,,,,,,,,,,,1 Michelin star,1 Michelin star
The NoMad,Manhattan,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Oceana,Manhattan,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,,,
Odo,Manhattan,,,,,,,,,,,,,,,1 Michelin star
Okuda,Manhattan,,,,,,,,,,,,,,1 Michelin star,1 Michelin star
Oxalis,Brooklyn,,,,,,,,,,,,,,,1 Michelin star
Oxomoco,Brooklyn,,,,,,,,,,,,,,1 Michelin star,1 Michelin star
Per Se,Manhattan,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars
Perry Street,Manhattan,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,,,,,,,
Peter Luger Steak House,Brooklyn,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Picholine,Manhattan,1 Michelin star,1 Michelin star,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,1 Michelin star,1 Michelin star,,1 Michelin star,1 Michelin star,,,,
Piora,Manhattan,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,,,
Pok Pok NY,Brooklyn,,,,,,,,,,1 Michelin star,1 Michelin star,,,,
Public,Manhattan,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,
Rebelle,Manhattan,,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,,
Le Restaurant,Manhattan,,,,,,,,,1 Michelin star,,,,,,
Rhong-Tiam,Manhattan,,,,,1 Michelin star,,,,,,,,,,
The River Café,Brooklyn,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Rosanjin,Manhattan,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,
Rouge Tomate,Manhattan,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,1 Michelin star,,
Satsuki,Manhattan,,,,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star
