business_name,rating,review_count,price_range,category
Nerai,4.5,509,$$$,"['Greek', 'Seafood', 'Mediterranean']"
San Blas,4.0,53,$$,['New Mexican Cuisine']
The Lobster Place,4.0,1324,$$,"['Seafood Markets', 'Seafood']"
Szechuan Mountain House,4.0,369,$$,['Szechuan']
Gyu-Kaku Japanese BBQ,4.0,1240,$$,"['Japanese', 'Barbeque', 'Asian Fusion']"
Haenyeo,4.0,135,,['Korean']
Nowon,4.5,99,,"['Korean', 'American (New)']"
L’Wren,5.0,41,,"['Cocktail Bars', 'Tapas/Small Plates']"
Shu Jiao Fu Zhou Cuisine Restaurant,4.5,854,$,['Chinese']
Kong Sihk Tong 港食堂,4.0,272,$,"['Chinese', 'Hong Kong Style Cafe']"
L’Artusi,4.5,1857,$$$,"['Italian', 'Cocktail Bars']"
Peaches,3.5,1140,$$,"['Southern', 'Seafood', 'Breakfast & Brunch']"
Kashkaval Garden,4.0,577,$$,"['Mediterranean', 'Fondue', 'Tapas Bars']"
Fresh Salt,4.0,398,$$,"['Bars', 'American (New)']"
hanon,4.5,132,$$,"['Japanese', 'Noodles']"
SUGARFISH by sushi nozawa,4.0,845,$$$,['Sushi Bars']
983-Bushwick’s Living Room,4.0,394,$$,"['Comfort Food', 'American (Traditional)']"
Tonkatsu Matsunoya,4.0,416,$$,['Japanese']
Madame Vo,4.0,813,$$,['Vietnamese']
Chez Ma Tante,4.0,178,$$,['American (Traditional)']
Cafe Habana,4.0,3156,$$,"['Cuban', 'Mexican']"
Ravagh Persian Grill,4.0,784,$$,"['Middle Eastern', 'Persian/Iranian', 'Mediterranean']"
David’s Brisket House and Deli,4.5,452,$$,"['Delis', 'Cheesesteaks', 'Burgers']"
Lilia,4.0,836,$$$,"['Italian', 'Cocktail Bars']"
Sunday in Brooklyn,4.0,807,$$,"['American (New)', 'Breakfast & Brunch', 'Cocktail Bars']"
Nish Nush,4.5,722,$$,"['Vegetarian', 'Moroccan', 'Greek']"
La Sirène-Soho,4.5,1606,$$$,['French']
Calaca,4.5,185,$$,['Mexican']
Llama Inn,4.0,503,$$$,"['Peruvian', 'Bars']"
Rice & Miso,4.5,75,$$,['Japanese']
Kahlo,4.5,128,$$$,['Mexican']
Wayan,4.5,233,$$$,"['Indonesian', 'French', 'Venues & Event Spaces']"
The Cabin NYC,4.0,247,$$,"['American (New)', 'Cocktail Bars', 'Breakfast & Brunch']"
Habana Outpost,4.0,1008,$$,['Cuban']
Kind Of Soul,4.5,87,$$,"['Southern', 'American (New)', 'Cocktail Bars']"
Khe-Yo,4.0,776,$$,['Laotian']
Pio Pio 7,4.0,826,$$,"['Latin American', 'Peruvian']"
Bites of Xi’an,4.5,148,$,['Chinese']
Despaña Fine Foods & Tapas Cafe,4.5,570,$$,"['Specialty Food', 'Spanish', 'Imported Food']"
PMF Pardon My French,4.0,990,$$,"['French', 'Cocktail Bars']"
Sweet Chick,4.0,659,$$,"['American (New)', 'Southern', 'Bars']"
The Crabby Shack,4.0,704,$$,"['Seafood', 'Desserts']"
Caracas Arepa Bar,4.0,828,$$,['Venezuelan']
Miss Ada,4.5,246,$$$,"['Mediterranean', 'Cocktail Bars']"
JoJu,4.5,125,$$,"['Sandwiches', 'Vietnamese', 'Asian Fusion']"
The Burgary,4.5,262,$$,['Burgers']
Dian Kitchen,5.0,229,$$,"['Chinese', 'Noodles']"
Taim West Village,4.5,1525,$$,"['Falafel', 'Kosher', 'Salad']"
Silver Factory,4.5,199,$$,"['Korean', 'Bars']"
Ltauha Restaurant,4.5,371,$$,"['American (New)', 'Tapas Bars', 'Diners']"
Jack’s Wife Freda,4.0,1923,$$,"['Breakfast & Brunch', 'Mediterranean', 'American (New)']"
Rosalu Diner,4.5,15,,['Diners']
Kiki’s,4.0,626,$$,"['Greek', 'Mediterranean']"
Uluh,4.0,294,$$$,"['Tea Rooms', 'Dim Sum']"
Gotham West Market,4.0,553,$$,['Food Court']
Chick’nCone,4.5,149,$$,"['Chicken Shop', 'Waffles']"
MOKYO,4.5,58,,"['Korean', 'Tapas/Small Plates', 'Asian Fusion']"
Au Za’atar,4.0,948,$$,"['Wine Bars', 'Lebanese', 'Mediterranean']"
Tacovision,4.5,106,$$,"['Tacos', 'Tapas/Small Plates']"
